Judul,Penulis,Tahun,topics,probabilities
penjadwalan mata pelajaran algoritme genetika studi smk negeri kediri,"Muhammad Fuad Efendi, Imam Cholissodin, Edy Santoso",31 Oct 2017,4,0.6608813430660101
perbedaan pemahaman experienced nonexperienced smartphone user application permission,"Fairuz Risky Yusniasari, Ari Kusyanti, Aryo Pinandito",31 Oct 2017,-1,0.0
sentimen ulasan aplikasi mobile naive bayes normalisasi berbasis levenshtein distance studi aplikasi bca mobile,"Ferly Gunawan, Mochammad Ali Fauzi, Putra Pandu Adikara",31 Oct 2017,-1,0.0
permainan berbasis augmented reality perangkat bergerak media meningkatkan kepedulian hewan langka,"Fransnesa Fransnesa, Wibisono Sukmo Wardhono, Tri Afirianto",31 Oct 2017,8,0.8995930132053291
faktorfaktor memengaruhi niat pengguna internet fungsi single sign on google metode sem structural equation modeling,"Lina Andreina, Ari Kusyanti, Retno Indah Rokhmawati",31 Oct 2017,57,0.7572056602623263
biaya pemenuhan asupan gizi makanan anakanak metode simpleks fase,"Pratomo Adinegoro, Rekyan Regasari Mardi Putri, Dian Eka Ratnawati",31 Oct 2017,31,0.8458561736180117
faktorfaktor memengaruhi sikap pengguna twitter pemberian informasi pribadi metode structural equation modeling sem,"Mega Noviany, Ari Kusyanti, Andi Reza Perdanakusuma",31 Oct 2017,-1,0.0
metode fuzzy ahp optimasi particle swarm optimization pso rekomendasi pemilihan tanaman pomologi,"Maulana Putra Pambudi, Imam Cholissodin, Candra Dewi",31 Oct 2017,-1,0.0
timing sync sensor networks jaringan sensor multihop,"Budiman Eka Atmaja Timur, Sabriansyah Rizqika Akbar, Mochammad Hannats Hanafi Ichsan",31 Oct 2017,-1,0.0
faktor faktor memengaruhi penggunaan smartphone metode structural equation modeling sem,"Nungki Dwi Prastanti, Ari Kusyanti, Andi Reza Perdanakusuma",31 Oct 2017,3,0.5232534513109623
citra tanda tangan berdasarkan ciri pyramid histogram of oriented gradient phog metode klasifikasi knearest neighbor,"Latifa Nabila Harfiya, Agus Wahyu Widodo, Randy Cahya Wihandika",31 Oct 2017,-1,0.0
performansi h h video streaming segi quality of service,"Vico Andrea Budi Harto, Rakhmadhany Primananda, Aswin Suharsono",31 Oct 2017,-1,0.0
perbandingan performansi protokol routing olsr solsr wireless mesh network,"Sofyan Ainurrachman, Adhitya Bhawiyuga, Mochammad Hannats Hanafi Ichsan",31 Oct 2017,59,0.8205275208785282
berita twitter metode improved naive bayes,"Budi Kurniawan, Mochammad Ali Fauzi, Agus Wahyu Widodo",31 Oct 2017,5,0.8552413645597121
pemilihan properti kota malang metode ahpsaw,"Syafruddin Agustian Putra, Nurul Hidayat, Lailil Muflikhah",31 Oct 2017,79,0.91780208298729
algoritma modified knearest neighbor mknn klasifikasi penyakit demam,"Fakihatin Wafiyah, Nurul Hidayat, Rizal Setya Perdana",31 Oct 2017,-1,0.0
estimasi biaya pembuatan perangkat lunak metode cocomo ii inagata technosmith studi sistem informasi monitoring evaluasi penerimaan beasiswa santri berprestasi uin malang,"Della Eko Damayanti, Suprapto Suprapto, Andi Reza Perdanakusuma",31 Oct 2017,68,0.15967205415491262
arsitektur pembangunan webgis analisis kesesuaian lahan pertanian tanaman padi metode gismcda kota batu,"Amaliah Khoirun Nisyak, Fatwa Ramdani, Suprapto Suprapto",31 Oct 2017,-1,0.0
metode dempstershafer mendiagnosa penyakit tanaman padi,"Syailendra Orthega, Nurul Hidayat, Edy Santoso",31 Oct 2017,1,1.0
perbandingan metode replikasi server kebutuhan pemulihan bencana studi sistem informasi geografis perusahaan xyz,"Ulfa Khoirul Azizah, Ismiarta Aknuranda, Widhi Yahya",31 Oct 2017,83,1.0
komposisi makanan penderita hipertensi metode particle swarm optimization,"Ayulianita A. Boestari, Dian Eka Ratnawati, Titis Sari Kusuma",31 Oct 2017,-1,0.0
elektroniksistem akuntabilitas kinerja instansi pemerintah dinas perindustrian kota malang,"Handoyo Saputra, Fajar Pradana, Bayu Priyambadha",31 Oct 2017,-1,0.0
pendukung keputusan pemilihan anggota pengurus harian pondok pesantren metode profile matching studi pondok pesantren putra sabilurrosyad,"Muhammad Atabik Usman, Edy Santoso, Nurul Hidayat",31 Oct 2017,10,0.6818911222723085
permainan edukasi simulasi astronomi teknologi mobile virtual reality,"Firly Wahyudi, Wibisono Sukmo Wardhono, Amminul Akbar",30 Nov 2017,8,0.9220488497156214
metode klasifikasi fuzzy knearest neighbor fknn fingerprint access point indoor positioning,"Baiq Findiarin Billyan, Adhitya Bhawiyuga, Rakhmadhany Primananda",30 Nov 2017,1,0.8056920239029353
pendeteksi kebocoran gas lpg metode fuzzy diimplementasikan real time operating system rtos,"Lavanna Indanus Ramadhan, Dahnial Syauqy, Barlian Henryranu Prasetio",30 Nov 2017,25,0.1722595962277187
dosis pupuk berdasarkan karakteristik lingkungan tanaman jeruk siam metode backpropagation,"Muhammad Najmi Ridhani, Rekyan Regasari Mardi Putri, Sutopo Sutopo",30 Nov 2017,-1,0.0
