Judul,Penulis,Tahun
pemodelan proses bisnis bidang pelayanan perizinan bussiness process model and notation bpmn studi dinas penanaman modal pelayanan terpadu pintu pemerintah kota malang,"Dwi Rahmawati, Retno Indah Rokhmawati, Andi Reza Perdanakusuma",30 Nov 2017
biaya bahan menu makanan penderita penyakit jantung metode evolution strategies,"Veronica Kristina Br Simamora, Imam Cholissodin, Mochammad Ali Fauzi",30 Nov 2017
scheduling proses extract transform load etl data warehouse metode round robin data partitioning studi universitas xyz,"Agung Yudha Berliantara, Satrio Agung Wicaksono, Aryo Pinandito",30 Nov 2017
sistem aplikasi manajemen proyek berbasis web studi pt swadaya graha,"Ardian Riftha Dhuha, Fajar Pradana, Bayu Priyambadha",30 Nov 2017
complementary filter sensor accelerometer gyroscope keseimbangan gerak robot humanoid,"Hafizhuddin Zul Fahmi, Rizal Maulana, Wijaya Kurniawan",30 Nov 2017
komposisi bahan makanan pasien rawat jalan penyakit jantung algoritme particle swarm optimization pso,"I Gusti Ayu Putri Diani, Imam Cholissodin, Suprapto Suprapto",30 Nov 2017
fungsi keanggotaan fuzzy tsukamoto algoritma genetika diagnosis autisme anak,"Indra Eka Mandriana, Candra Dewi, Muhammad Tanzil Furqon",30 Nov 2017
rekomendasi bahan makanan penderita penyakit jantung algoritma genetika,"Elisa Julie Irianti Siahaan, Imam Cholissodin, Mochammad Ali Fauzi",30 Nov 2017
pakar diagnosis penyakit schizophrenia metode bayesian network,"Rima Diah Wardhani, Rekyan Regasari Mardi Putri, Budi Darma Setiawan",30 Nov 2017
proses bisnis metode business process improvement bpi studi riset pemasaran pusat pelayanan pelanggan pt petrokimia gresik,"Shinta Dewi Larasati, Satrio Agung Wicaksono, Niken Hendrakusma Wardani",30 Nov 2017
fuzzy inference system mamdani algoritme genetika menentukan siram tanaman strawberry,"Agung Nurjaya Megantara, Budi Darma Setiawan, Randy Cahya Wihandika",30 Nov 2017
panen tebu gabungan metode backpropagation algoritma genetika,"Dwi Ari Suryaningrum, Dian Eka Ratnawati, Budi Darma Setiawan",30 Nov 2017
pengendalian quadcopter prinsip virtual reality google cardboard,"Dimas Angger Pribadi, Eriq M. Adams Jonemaro, Gembong Edhi Setyawan",29 Dec 2017
perencanaan wisata malang raya algoritma greedy,"Akhmad Eriq Ghozali, Budi Darma Setiawan, Muhammad Tanzil Furqon",29 Dec 2017
dimensi video metode structurefrommotion studi wilayah pertambangan batubara,"Rimba Anditya Kurniawan, Fatwa Ramdani, Muhammad Tanzil Furqon",29 Dec 2017
sistem pemantauan posisi kereta api berbasis rfid protokol message queue telemetry transport mqtt,"Anggit Surya Gumilang, Rakhmadhany Primananda, Mahendra Data",29 Dec 2017
proses bisnis quality evaluation framework qef studi ud honda ii kepanjen ahass,"Intan Rumaysha, Aditya Rachmadi, Nanang Yudi Setiawan",29 Dec 2017
sistem pembelajaran pemrograman java atraktif berbasis website,"Dhanuari Indra Bastari, Fajar Pradana, Bayu Priyambadha",29 Dec 2017
evaluasi proses bisnis metode quality evaluation framework qef studi cv mulyo tani makmur,"Laurensia Clara Sakti, Aditya Rachmadi, Retno Indah Rokhmawati",29 Dec 2017
faktorfaktor memengaruhi website lazada structured equation modeling sem,"Enrico Dimas Darmawan, Ari Kusyanti, Niken Hendrakusma Wardani",29 Dec 2017
rekomendasi lowongan pekerjaan fresh graduate metode weighted product berbasis android,"Dwi Astuti, Aryo Pinandito, Ratih Kartika Dewi",29 Dec 2017
lagu berdasarkan emosi algoritma fuzzy cmeans,"Muhja Mufidah Afaf Amirah, Agus Wahyu Widodo, Candra Dewi",29 Dec 2017
penjadwalan mata pelajaran kurikulum algoritme genetika studi sma negeri surakarta,"Radita Noer Pratiwi, Imam Cholissodin, Putra Pandu Adikara",29 Dec 2017
performa protokol n mikrokomputer raspberry pi,"Retno Perwita Sari, Kasyful Amron, Rakhmadhany Primananda",29 Dec 2017
performansi algoritme kriptografi advanced encryption standard aes blowfish text platform android,"Muhammad Taufiqur Rahman, Aryo Pinandito, Eko Sakti Pramukantoro",29 Dec 2017
iot middleware berbasis eventbased protokol komunikasi coap mqtt websocket,"Husnul Anwari, Eko Sakti Pramukantoro, Mochammad Hannats Hanafi Ichsan",29 Dec 2017
perbandingan performa algoritma round robin least connection load balancing software defined network,"Agung Nugroho, Widhi Yahya, Kasyful Amron",29 Dec 2017
gateway berbasis nrfl esp protokol message queue telemetry transport sensor network mqttsn,"Harry Mulya, Sabriansyah Rizqika Akbar, Edita Rosana Widasari",29 Dec 2017
sistem informasi ecomplaint studi grapari telkomsel malang,"Muhammad Adnan, Retno Indah Rokhmawati, Fajar Pradana",29 Dec 2017
aplikasi pelatihan otot mata penderita miopia metode bates teknologi virtual reality,"Mukhammad Sharif Hidayatulloh, Komang Candra Brata, Hanifah Muslimah Az-Zahra",29 Dec 2017
algoritme genetika simulated annealing optimasi multitrip vehicle routing problem with time windows studi pariwisata kabupaten banyuwangi,"Amalia Kartika Ariyani, Wayan Firdaus Mahmudy",29 Dec 2017
algoritma hybrid pathfinding a boids game pesawat tempur,"Firdaus Rahmat Prasetyo, Eriq M. Adams Jonemaro, Muhammad Aminul Akbar",29 Dec 2017
tata kelola sistem keamanan teknologi informasi framework cobit fokus proses apo dss studi pt martina berto tbk,"Raja Gantino Mufti, Suprapto Suprapto, Yusi Tyroni Mursityo",29 Dec 2017
metode dempster shafer diagnosis penyakit tanaman jeruk,"Salam Maulana, Nurul Hidayat, Edy Santoso",29 Dec 2017
komposisi pakan ternak memenuhi kebutuhan nutrisi ayam petelur biaya minimum particle swarm optimization pso,"Brigitta Ayu Kusuma Wardhany, Imam Cholissodin, Edy Santoso",29 Dec 2017
kmeans clustering kinerja akademik dosen algoritme genetika,"Budi Santoso, Imam Cholissodin, Budi Darma Setiawan",29 Dec 2017
algoritma monte carlo tree search permainan komputer maze treasure,"Nazzun Hanif Ahsani, Eriq Muh. Adams Jonemaro, Candra Dewi",29 Dec 2017
kebutuhan gizi balita hybrid algoritma genetika simulated annealing,"Fitri Anggarsari, Wayan Firdaus Mahmudy, Candra Dewi",29 Dec 2017
pendukung keputusan pengurutan berdasarkan jenis suara anggota divisi paduan suara bios metode profile matching studi logicio choir filkom,"Dinul Wikramaditya Syah, Edi Santoso, Rizal Setya Perdana",29 Dec 2017
sumber daya teknologi informasi perusahaan cobit studi pt krakatau steel persero tbk,"Fadel Muhafiizh, Suprapto Suprapto, Retno Indah Rokhmawati",29 Dec 2017
teks ekstraktif kepustakaan ilmu komputer bahasa indonesia metode normalized google distance kmeans,"Dhimas Anjar Prabowo, Mochammad Ali Fauzi, Yuita Arum Sari",29 Dec 2017
usabilitas aplikasi taxi online android grabcar uber unified theory of acceptance and use of technology utaut,"Heru Utomo, Eriq Muh. Adams Jonemaro, Mahardeka Tri Ananta",29 Dec 2017
sentimen opini pilkada dki dokumen twitter berbahasa indonesia naive bayes pembobotan emoji,"Agnes Rossi Trisna Lestari, Rizal Setya Perdana, Mochammad Ali Fauzi",29 Dec 2017
sentimen tingkat kepuasan pengguna penyedia layanan telekomunikasi seluler indonesia twitter metode support vector machine lexicon based features,"Umi Rofiqoh, Rizal Setya Perdana, Mochammad Ali Fauzi",29 Dec 2017
sentimen opini film dokumen twitter berbahasa indonesia naive bayes perbaikan baku,"Prananda Antinasari, Rizal Setya Perdana, Mochammad Ali Fauzi",29 Dec 2017
lokasi pasang wifiid corner metode ahp algoritma genetika studi pt telkom witel kediri,"Figgy Rosaliana, Dian Eka Ratnawati, Mochammad Ali Fauzi",29 Dec 2017
sentimen tayangan televisi berdasarkan opini masyarakat media sosial twitter metode knearest neighbor pembobotan retweet,"Winda Estu Nurjanah, Rizal Setya Perdana, Mochammad Ali Fauzi",29 Dec 2017
learning vector quantization lvq klasifikasi kualitas air sungai,"Rifwan Hamidi, Muhammad Tanzil Furqon, Bayu Rahayudi",29 Dec 2017
permintaan daging sapi nasional metode multifactors high order fuzzy time series model,"Taufan Nugraha, Muhammad Tanzil Furqon, Putra Pandu Adikara",29 Dec 2017
volume impor beras nasional metode multifactors highorder fuzzy time series,"Nendiana Putri, Edy Santoso, Sigit Adinugroho",29 Dec 2017
algoritma dijkstra menemukan jarak terdekat lokasi pengguna tanaman tuju berbasis android studi kebun raya purwodadi,"Muhammad Syamsuddin Yusuf, Hanifah Muslimah Az-Zahra, Diah Harnoni Apriyanti",29 Dec 2017
pendukung keputusan pemilihan personel homeband universitas brawijaya metode profile matching,"Aditya Sudarmadi, Edy Santoso, Sutrisno Sutrisno",29 Dec 2017
penyakit kulit kucing metode modified knearest neighbor,"Made Bela Pramesthi Putri, Edy Santoso, Marji Marji",29 Dec 2017
metode profile matching seleksi penerimaan anggota asisten praktikum studi laboratorium pembelajaran kelompok praktikum basis data filkom,"Fran's Dwi Saputra Atmanagara, Rekyan Regasari Mardi Putri, Sutrisno Sutrisno",29 Dec 2017
kualitas layanan website bukalapak kepuasan pengguna esqual,"Cindy Farah Safira, Ari Kusyanti, Himawat Aryadita",29 Dec 2017
kualitas layanan kepuasan kepercayaan loyalitas pelanggan ecommerce studi berrybenka,"Rika Mardatilla, Ari Kusyanti, Himawat Aryadita",29 Dec 2017
website unit kegiatan mahasiswa metodologi user centered design,"Deni Kusuma Fajri, Agi Putra Kharisma, Ratih Kartika Dewi",29 Dec 2017
perbandingan algoritma floydwarshall dijkstra menentukan jalur terpendek jaringan openflow,"Ibrahim Attamimi, Widhi Yahya, Mochammad Hannats Hanafi",29 Dec 2017
menu makanan pemenuhan gizi penderita kanker algoritme genetika,"Dellia Airyn, Imam Cholissodin, Budi Darma Setiawan",29 Dec 2017
entity recognition hidden markov model algoritma viterbi teks tanaman obat,"Agung Setiyoaji, Lailil Muflikhah, Mochammad Ali Fauzi",29 Dec 2017
performa sistem pemantauan suhu kelembaban berbasis wireless sensor network,"Da'imul Royan, Rakhmadhany Primananda, Wijaya Kurniawan",29 Dec 2017
game d warship operation trikora,"Mohamad Faisal Amir, Wibisono Sukmo Wardhono, Issa Arwani",29 Dec 2017
komposisi pakan memenuhi kebutuhan nutrisi ayam petelur biaya minimum improved particle swarm optimization ipso,"Nur Firra Hasjidla, Imam Cholissodin, Agus Wahyu Widodo",31 Jan 2018
alokasi memori dinamis sistem komputer berbasis clustering kmeans,"Florensius Tri Putra Simamora, Widhi Yahya, Sabriansyah Rizqika Akbar",31 Jan 2018
kelayakan lokasi wifiid corner ahppso studi telkom kota kediri,"Ulfa Lina Wulandari, Dian Eka Ratnawati, Mochammad Ali Fauzi",31 Jan 2018
aplikasi iqro berbasis android google speech,"Ach Fauzan, Issa Arwani, Lutfi Fanani",31 Jan 2018
penghuni ruangan berpintu smart home berbasis arduino sensor pir,"Lintang Cahyaning Ratri, Hurriyatul Fitriyah, Wijaya Kurniawan",31 Jan 2018
susunan gizi makanan pasien rawat jalan penyakit jantung real coded genetic algorithm rcga,"Ratih Diah Puspitasari, Dian Eka Ratnawati, Mochammad Ali Fauzi",31 Jan 2018
kesalahan penulisan typographical error dokumen berbahasa indonesia metode ngram levenshtein distance,"Arina Indana Fahma, Imam Cholissodin, Rizal Setya Perdana",31 Jan 2018
aplikasi mobile pelayanan administrasi posyandu google maps api geolocation tagging,"Nadia Savitri, Heru Nurwasito",31 Jan 2018
suku bunga acuan bi rate metode adaptive neuro fuzzy inference system anfis,"Nur Adli Ari Darmawand, Dian Eka Ratnawati, Rizal Setya Perdana",31 Jan 2018
aplikasi mobile sistem keamanan kantor nfc near field communication wifi studi pt rahmi ida nusantara,"Rudi Ridho Rohmansyah, Heru Nurwasito",31 Jan 2018
manajemen risiko teknologi informasi cobit it risk studi pt petrokimia gresik,"Nurfitri Zukhrufatul Firdaus, Suprapto Suprapto",31 Jan 2018
manajemen risiko teknologi informasi kerangka kerja cobit studi perum jasa tirta i malang,"M. Habibullah Arief, Suprapto Suprapto",31 Jan 2018
light painting photography analisis cakupan jaringan wireless lan perangkat berbasis wemos d,"Wisnu Fajar Dewantara, Sabriansyah Rizqika Akbar, Rakhmadhany Primananda",31 Jan 2018
kelayakan lokasi usaha franchise metode ahp vikor,"Vienticentia Imanuwelita, Rekyan Regasari Mardi Putri, Faizatul Amalia",31 Jan 2018
kebutuhan air pdam kota malang metode fuzzy time series algoritma genetika,"Khaira Istiqara, Muhammad Tanzil Furqon, Indriati Indriati",31 Jan 2018
manajemen risiko teknologi informasi framework cobit studi pt kimia farma persero tbk plant watudakon,"Novia Dwi Setyaningrum, Suprapto Suprapto, Ari Kusyanti",31 Jan 2018
pakar diagnosis hamapenyakit tanaman sedap malam metode naive bayescertainty factor berbasis android,"Ali Syahrawardi, Nurul Hidayat, Donald Sihombing",31 Jan 2018
faktorfaktor memengaruhi penggunaan kmspico aktivasi produk microsoft mahasiswa universitas xyz,"Muhammad Faizal Ismail, Ari Kusyanti, Admaja Dwi Herlambang",31 Jan 2018
aplikasi penyedia informasi lowongan pekerjaan youtube api smartphone android,"Ervin Winardo Toepak, Issa Arwani, Tri Afirianto",31 Jan 2018
kualitas layanan website ecommerce berrybenka kepuasan pengunjung metode webqual importance performance analysis ipa,"Winda Siti Fatmala, Suprapto Suprapto, Aditya Rachmadi",31 Jan 2018
standar produk baja pt krakatau steel persero tbk berdasarkan komposisi kimia sifat mekanis baja fuzzy knearest neighbor fuzzy knn,"Ardisa Tamara Putri, Muhammad Tanzil Furqon, Randy Cahya Wihandika",31 Jan 2018
kualitas layanan situs tiketcom kepuasan pengguna webqual importance performance analysis ipa,"Nurjannah Nurjannah, Ari Kusyanti, Admaja Dwi Herlambang",31 Jan 2018
bayesian network sistem pakar ekspresi wajah bahasa tubuh pengamatan indra penglihatan foto,"Muhammad Adiputra, Rekyan Regasari Mardi Putri, Suprapto Suprapto",31 Jan 2018
harga saham support vector regression algoritme genetika,"Nanda Agung Putra, Budi Darma Setiawan, Putra Pandu Adikara",31 Jan 2018
vektor bobot learning vector quantization algoritme genetika penentuan kualitas susu sapi,"Karina Widyawati, Budi Darma Setiawan, Putra Pandu Adikara",31 Jan 2018
komposisi makanan diet penderita hipertensi algoritme genetika,"Muhammad Shafaat, Imam Cholissodin, Edy Santoso",31 Jan 2018
perbandingan performa web service bahasa pemrograman python php perl client berbasis android,"Achmad Fauzi Harismawan, Agi Putra Kharisma, Tri Afirianto",31 Jan 2018
test case generation pendekatan genetic algorithm mutation analysis sampling,"Christopher Dimas Satrio, Mochamad Chandra Saputra, Aditya Rachmadi",31 Jan 2018
karakter plat nomor kendaraan selective ratio bounding box,"Juniman Arief, Fitri Utaminingrum, Yuita Arum Sari",31 Jan 2018
informasi geografis kesesuaian lahan perumahan kota malang metode mce,"Muhammad Hadi Selamet Hariyanto, Fatwa Ramdani, Mochamad Chandra Saputra",31 Jan 2018
parameter support vector regression algoritme genetika prediksi harga emas,"Muthia Azzahra, Budi Darma Setiawan, Putra Pandu Adikara",31 Jan 2018
rekomendasi psikotes penjurusan siswa sma metode modified knearest neighbor,"Muchlas Mughniy, Randy Cahya Wihandika, Barlian Henryranu Prasetio",31 Jan 2018
kualitas layanan website pt kereta api indonesia persero kepuasan pengguna webqual importanceperformance analysis ipa,"Izzati Dalilah, Ari Kusyanti, Admaja Dwi Herlambang",31 Jan 2018
permainan edukasi berbasis kinect penderita asperger syndrome menangani empathy disorder,"Dessy Amri Raykhamna, Tri Afirianto, Muhammad Aminul Akbar",31 Jan 2018
berita online pembobotan tfidf cosine similarity,"Bening Herwijayanti, Dian Eka Ratnawati, Lailil Muflikhah",31 Jan 2018
pakar identifikasi hama penyakit tanaman sedap malam fuzzy analytical hierarchy process fahp,"Christian Herlando Indra Jaya, Nurul Hidayat, Donald Sihombing",31 Jan 2018
sistem informasi kim kelompok informasi masyarakat kominfo jatim berbasis web,"Mohammad Mirza Zanuar, Mochamad Chandra Saputra, Fajar Pradana",31 Jan 2018
sistem deteksi gerakan kepala kontrol pergerakan kursi roda berbasis embedded system,"Virza Audy Ervanda, Dahnial Syauqy, Fitri Utaminingrum",31 Jan 2018
daftar bahan makanan pasien rawat jalan keluarga algoritme genetika,"Istiana Rachmi, Imam Cholissodin, Marji Marji",31 Jan 2018
bangun sistem pengkalibrasi nada pengkonversi nada akor instrumen gitar labview,"Raga Jiwanda, Dahnial Syauqy, Wijaya Kurniawan",31 Jan 2018
sentimen query expansion review aplikasi mbanking metode fuzzy knearest neighbor fuzzy knn,"Nanda Cahyo Wirawan, Indriati Indriati, Putra Pandu Adikara",31 Jan 2018
evaluasi biaya pengembangan sistem antrian rsud dr soetrasno rembang metode use case point function point studi cv pabrik teknologi,"Dhya Fairuzu Zahiroh, Mochamad Chandra Saputra, Admaja Dwi Herlambang",31 Jan 2018
kendali navigasi ardrone quadcopter prinsip natural user interface microsoft kinect,"Sabitha Wildani Hadi, Gembong Edhi Setyawan, Rizal Maulana",31 Jan 2018
kandang rangka meminimalisir heat stress ayam broiler metode naive bayes,"Chandra Gusti Nanda Putra, Rizal Maulana, Hurriyatul Fitriyah",31 Jan 2018
game edukasi ayo belajar ramburambu lintas berbasis kinect studi tk kemala bhayangkari kota malang,"Ikrar Amalia Sholekhah, Issa Arwani, Tri Afirianto",31 Jan 2018
kura framework purwarupa rumah cerdas,"Muhammad Iqbal, Sabriansyah Rizqika Akbar, Bayu Priyambadha",31 Jan 2018
pemupukan pertanian rempah algoritme genetika,"Muhammad Fahmi Hidayatullah, Imam Cholissodin, Agus Wahyu Widodo",31 Jan 2018
objek penghalang realtime berbasis mobile penyandang tunanetra analisis blob,"Achmad Jafar Al Kadafi, Fitri Utaminingrum",31 Jan 2018
desain antarmuka aplikasi mobile bpjs ketenagakerjaan heuristic evaluation,"Fahry Nur Muhammad, Suprapto Suprapto, Admaja Dwi Herlambang",31 Jan 2018
kualitas layanan website ecommerce salestock indonesia metode webqual importance performance analysis,"Rizky Nanda Istichomah, Suprapto Suprapto, Admaja Dwi Herlambang",31 Jan 2018
pakar diagnosis penyakit kambing metode naive bayes certainty factor,"Wahyu Rizki Ferdiansyah, Lailil Muflikhah, Sigit Adinugroho",28 Feb 2018
pengaruh kepercayaan resiko konsumen niat berbelanja forum jual beli fjb kaskus technology acceptance model,"Sepdiyah Ayu Ningrum, Ari Kusyanti, Himawat Aryadita",28 Feb 2018
metode topsis penentuan finalis duta wisata joko roro kabupaten malang studi paguyuban joko roro,"Krisna Andryan Syahputra Effendi, Edy Santoso, Nurul Hidayat",28 Feb 2018
bangun iot cloud platform berbasis protokol komunikasi mqtt,"Moh Wildan Habibi, Adhitya Bhawiyuga, Achmad Basuki",28 Feb 2018
