Judul,Penulis,Tahun
bandwidth manajemen pengguna jaringan wireless mesh network mikrotik,"Galeh Fatma Eko Ardiansa, Rakhmadhany Primananda, Mochammad Hannats Hanafi Ichsan",30 Nov 2017
komposisi makanan penderita hipertensi algoritma genetika simulated annealing,"Agustin Kartikasari, Dian Eka Ratnawati, Titis Sari Kusuma",30 Nov 2017
bot frequently ask question faq filkom jejaring sosial twitter,"Atiqo Tuzumah, Eko Sakti Pramukantoro, Heru Nurwarsito",30 Nov 2017
pervasive service discovery protocol rumah cerdas berbasis nrfl,"Dwi Aris Suprayogi, Sabriansyah Rizqika Akbar, Mochammad Hannats Hanafi Ichsan",30 Nov 2017
feedforward neural network pso prediksi pengangguran terbuka indonesia,"Bayu Septyo Adi, Dian Eka Ratnawati, Marji Marji",30 Nov 2017
metode improved kmeans mengelompokkan titik panas bumi,"Al-Mar'atush Shoolihah, Muhammad Tanzil Furqon, Agus Wahyu Widodo",30 Nov 2017
naive bayes embedded system menentukan status gizi bayi,"Fauzi Rivani, Dahnial Syauqy, Mochammad Hannats Hanafi Ichsan",30 Nov 2017
suku bunga acuan bi rate metode fuzzy time series percentage change universe of discourse,"Wiratama Paramasatya, Dian Eka Ratnawati, Candra Dewi",30 Nov 2017
penyakit kucing modified knearest neighbor teroptimasi studi puskeswan klinik hewan satwa sehat kota kediri,"Fitri Dwi Astuti, Dian Eka Ratnawati, Agus Wahyu Widodo",30 Nov 2017
user interface aplikasi guide me berbasis web pendekatan humancentered design,"Mohamad Rendiansah, Hanifah Muslimah Az-Zahra, Mochamad Chandra Saputra",30 Nov 2017
follower official account line regresi algoritma genetika,"Nizar Riftadhi Prabandaru, Rekyan Regasari Mardhi Putri, Agus Wahyu Widodo",30 Nov 2017
algoritma particle swarm optimization pso optimasi pemenuhan kebutuhan gizi balita,"Leni Istikomah, Imam Cholissodin, Marji Marji",30 Nov 2017
metode profile matching weighted product seleksi staf operator komputer studi uptd pendidikan kecamatan tambakboyo kabupaten tuban jawa timur,"Oktavianis Kartikasari, Nurul Hidayat, Suprapto Suprapto",30 Nov 2017
